movieId,title,genres,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Fantasy,genre_Romance,genre_Drama,genre_Action,genre_Crime,genre_Thriller,genre_Horror,genre_Mystery,genre_Sci-Fi,genre_War,genre_Musical,genre_Documentary,genre_IMAX,genre_Western,genre_Film-Noir,genre_(no genres listed),release_year,rating_count,average_rating,rating_std_x,total_ratings,avg_rating,rating_std_y,min_rating,max_rating,avg_normalized_rating,normalized_rating_std,first_rating_year,last_rating_year,all_tags,num_unique_tags,imdbId,tmdbId,has_tags,rating_popularity
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,215.0,3.925581395348837,0.8183334510060227,215.0,3.925581395348837,0.8183334510060227,1.5,5.0,0.6930232558139535,0.23380955743029228,1996.0,2018.0,pixar|pixar|fun,2.0,114709,862,1,0.6524390243902439
2,Jumanji (1995),Adventure|Children|Fantasy,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,110.0,3.4454545454545453,0.8441527280001876,110.0,3.4454545454545453,0.8441527280001876,1.5,5.0,0.5558441558441558,0.24118649371433928,1996.0,2018.0,game|Robin Williams|fantasy|magic board game,4.0,113497,8844,1,0.3323170731707317
3,Grumpier Old Men (1995),Comedy|Romance,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,52.0,3.3076923076923075,0.9505099052296446,52.0,3.3076923076923075,0.9505099052296446,1.5,5.0,0.5164835164835165,0.2715742586370414,1996.0,2017.0,old|moldy,2.0,113228,15602,1,0.15548780487804878
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,7.0,2.4285714285714284,0.7319250547113999,7.0,2.4285714285714284,0.7319250547113999,1.5,3.0,0.26530612244897955,0.2091214442032571,1996.0,2009.0,no_tags,0.0,114885,31357,0,0.018292682926829267
5,Father of the Bride Part II (1995),Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,49.0,3.0918367346938775,0.8580104735894054,49.0,3.0918367346938775,0.8580104735894054,1.5,5.0,0.45481049562682213,0.24514584959697303,1996.0,2018.0,pregnancy|remake,2.0,113041,11862,1,0.14634146341463414
6,Heat (1995),Action|Crime|Thriller,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1995.0,102.0,3.950980392156863,0.8007107112909647,102.0,3.950980392156863,0.8007107112909647,1.5,5.0,0.700280112044818,0.2287744889402756,1996.0,2018.0,no_tags,0.0,113277,949,0,0.3079268292682927
7,Sabrina (1995),Comedy|Romance,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,54.0,3.2314814814814814,0.8779960188318376,54.0,3.2314814814814814,0.8779960188318376,1.5,5.0,0.4947089947089947,0.250856005380525,1996.0,2017.0,remake,1.0,114319,11860,1,0.16158536585365854
8,Tom and Huck (1995),Adventure|Children,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,8.0,2.9375,1.015504800579495,8.0,2.9375,1.015504800579495,1.5,5.0,0.4107142857142857,0.2901442287369986,1996.0,2007.0,no_tags,0.0,112302,45325,0,0.021341463414634148
9,Sudden Death (1995),Action,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,16.0,3.125,0.9746794344808963,16.0,3.125,0.9746794344808963,1.5,5.0,0.4642857142857143,0.2784798384231133,1996.0,2017.0,no_tags,0.0,114576,9091,0,0.04573170731707317
10,GoldenEye (1995),Action|Adventure|Thriller,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,132.0,3.5113636363636362,0.8160272154637462,132.0,3.5113636363636362,0.8160272154637462,1.5,5.0,0.5746753246753247,0.2331506329896419,1996.0,2018.0,no_tags,0.0,113189,710,0,0.39939024390243905
